Points
(-232.53427124023438, -155.05247497558594, -172.02012634277344)
(-229.57447814941406, -157.60951232910156, -175.37489318847656)
(-226.24778747558594, -154.88597106933594, -170.9662628173828)
(-233.95188903808594, -154.96946716308594, -163.35623168945312)
(-230.72894287109375, -155.10475158691406, -168.5670166015625)
(-236.45213317871094, -204.006103515625, -127.15625762939453)
(-238.27955627441406, -199.20741271972656, -126.53398132324219)
(-231.58106994628906, -192.1789093017578, -125.44921112060547)
(-235.1717987060547, -203.1826171875, -127.11664581298828)
(-232.4796905517578, -203.53253173828125, -126.9014663696289)
(-230.69851684570312, -192.20523071289062, -125.44921112060547)
(-230.3850555419922, -192.46707153320312, -125.44921112060547)
(-221.29969787597656, -201.3336944580078, -125.50907897949219)
(-215.21853637695312, -196.91439819335938, -125.44921112060547)
(-214.20970153808594, -202.0420379638672, -126.7330551147461)
(-230.68638610839844, -192.0672149658203, -125.44921112060547)
(-230.7865753173828, -192.0530242919922, -125.44921112060547)
(-230.4875030517578, -192.10507202148438, -125.44921112060547)
(-232.05653381347656, -188.9351806640625, -125.44921112060547)
(-228.8037872314453, -189.17123413085938, -125.44921112060547)
(-230.63961791992188, -191.95794677734375, -125.44921112060547)
(-221.03518676757812, -194.4231719970703, -125.52928924560547)
(-220.4866943359375, -189.7477264404297, -125.44921112060547)
(-220.8267822265625, -177.1902313232422, -125.44921112060547)
(-238.4594268798828, -154.59524536132812, -150.3887481689453)
(-239.68077087402344, -154.59524536132812, -140.94447326660156)
(-225.74424743652344, -154.59524536132812, -163.58543395996094)
(-230.73915100097656, -154.59524536132812, -157.15643310546875)
(-224.9180908203125, -154.59524536132812, -158.5667266845703)
(-218.0266571044922, -154.59524536132812, -164.25648498535156)
(-220.6947784423828, -154.59524536132812, -153.1990509033203)
(-226.82334899902344, -154.59524536132812, -157.04251098632812)
(-228.1586456298828, -154.59524536132812, -158.9040985107422)
(-197.5492401123047, -154.59524536132812, -167.61134338378906)
(-218.0110626220703, -154.59524536132812, -151.4973602294922)
(-235.54661560058594, -179.88360595703125, -125.44921112060547)
(-221.32211303710938, -176.8208465576172, -125.44921112060547)
(-228.60565185546875, -172.1016082763672, -125.44921112060547)
(-214.04779052734375, -192.6697235107422, -125.44921112060547)
